city,enroll,name,rate,state
Aurora,6165,Aurora University,56.8%,IL
Robinson,632,Illinois Eastern Community Colleges Lincoln Trail College,56%,IL
Beverly Hills,1389,West Coast Ultrasound Institute,70.9%,CA
Lynchburg,2553,University of Lynchburg,56.2%,VA
Norfolk,441,Fortis College Norfolk,56.1%,VA
Box Elder,373,Stone Child College,57%,MT
Lancaster,1207,Thaddeus Stevens College of Technology,57%,PA
Philadelphia,3011,Holy Family University,56.4%,PA
Dallas,4340,Dallas Baptist University,56.2%,TX
Northfield,3672,Norwich University,56.7%,VT
Bowling Green,17645,Bowling Green State University Main Campus,56.1%,OH
Clarks Summit,696,Clarks Summit University,56.8%,PA
Elmira,673,Elmira College,56.5%,NY
New York,1666,American Musical and Dramatic Academy,56.3%,NY
Sparkill,2026,Saint Thomas Aquinas College,56.4%,NY
Reno,21034,University of Nevada Reno,56.6%,NV
Cazenovia,746,Cazenovia College,56.9%,NY
Kearney,6275,University of Nebraska at Kearney,56.1%,NE
Cincinnati,239,Art Academy of Cincinnati,57.9%,OH
Cullowhee,11877,Western Carolina University,57.8%,NC
Charlotte,2063,Queens University of Charlotte,57.4%,NC
Syracuse,252,Crouse Hospital College of Nursing,57.5%,NY
Flushing,18772,CUNY Queens College,57.2%,NY
Alfred,1982,Alfred University,57.6%,NY
Winona,6545,Winona State University,57.8%,MN
Lafayette,279,Remington College Lafayette Campus,57%,LA
Saint Paul,3904,St Catherine University,57.5%,MN
Mount Pleasant,15424,Central Michigan University,57.2%,MI
Plymouth,4224,Plymouth State University,57.7%,NH
Orono,12657,University of Maine,57.7%,ME
Moscow,11303,University of Idaho,57.6%,ID
Tampa,40,Remington College Tampa Campus,57.1%,FL
Baton Rouge,387,Medvance Institute Baton Rouge,56.4%,LA
Columbus,55,Ohio Business College Columbus,56.2%,OH
San Antonio,3432,St. Mary's University,57.2%,TX
Indianapolis,384,MedTech College,56.9%,IN
Spartanburg,1440,Converse College,57%,SC
Chesapeake,204,Centura College Chesapeake,56.6%,VA
Providence,5117,Johnson & Wales University Providence,58%,RI
Philadelphia,178,Pennsylvania Academy of the Fine Arts,57.8%,PA
Wilkes-Barre,5276,Wilkes University,57.4%,PA
Gwynedd Valley,2521,Gwynedd Mercy College,57.5%,PA
Columbus,1000,Columbus College of Art and Design,57.8%,OH
Ashland,4929,Ashland University,57.4%,OH
Doylestown,2168,Delaware Valley University,57.7%,PA
North Canton,2440,Walsh University,57.4%,OH
Salem,1082,Corban University,57.6%,OR
Shreveport,184,Career Technical College Shreveport,35.3%,LA
Hoffman Estates,13480,American InterContinental University Online,35.6%,IL
Plymouth,104,Minnesota School of Business Plymouth,35.6%,MN
Irwin,77,Rosedale Bible College,35.5%,OH
Cedar Falls,149,Purdue Global Cedar Falls Campus,35.9%,IA
Fort Dodge,5009,Iowa Central Community College,34.3%,IA
Chicago,737,Saint Augustine College,34.9%,IL
Okmulgee,2286,Oklahoma State University Institute of Technology Okmulgee,30.4%,OK
Canton,323,Brown Mackie College North Canton,30%,OH
Hudson,1355,Columbia Greene Community College,30.8%,NY
Portales,4991,Eastern New Mexico University Main Campus,30.8%,NM
Jersey City,6918,New Jersey City University,30.6%,NJ
Omaha,6,Vatterott College Spring Valley,30.5%,NE
Raleigh,225,Miller Motte College Raleigh,28.6%,NC
San Francisco,17447,City College of San Francisco,29.2%,CA
Conway,622,Central Baptist College,29.9%,AR
Meridian,2718,Meridian Community College,30.6%,MS
Hanceville,5204,George C Wallace State Community College Hanceville,29.2%,AL
Jacksonville,175,Miller Motte College,28.5%,NC
Evergreen,374,Reid State Technical College,29.2%,AL
Monrovia,130,Mt Sierra College,28.6%,CA
Pasco,6089,Columbia Basin College,27%,WA
Lynnwood,5606,Edmonds Community College,26.2%,WA
Lynchburg,558,Virginia University of Lynchburg,26.2%,VA
Abingdon,2451,Virginia Highlands Community College,26.9%,VA
Institute,3415,West Virginia State University,26.3%,WV
Martinsville,1906,Patrick Henry Community College,26.8%,VA
Locust Grove,7496,Germanna Community College,26.2%,VA
Odessa,7947,Odessa College,25.2%,TX
Austin,1001,Huston Tillotson University,26%,TX
Borger,1586,Frank Phillips College,25.5%,TX
Nashville,342,Aquinas College,25.8%,TN
Coos Bay,1490,Southwestern Oregon Community College,25.4%,OR
Eugene,44,New Hope Christian College,25%,OR
Asheville,352,South College Asheville,25.6%,NC
Bottineau,1163,Dakota College at Bottineau,25.8%,ND
Chillicothe,2211,Ohio University Chillicothe Campus,25.9%,OH
Flat Rock,2635,Blue Ridge Community College,25.9%,NC
Smithfield,4059,Johnston Community College,25.6%,NC
Sanborn,4154,Niagara County Community College,25.6%,NY
Utica,5347,Mohawk Valley Community College Utica Branch,25.7%,NY
Batavia,4472,Genesee Community College,25.2%,NY
Poughkeepsie,7222,Dutchess Community College,25%,NY
Canandaigua,5414,Finger Lakes Community College,25.4%,NY
Troy,8454,Hudson Valley Community College,26.5%,NY
Syracuse,413,Bryant and Stratton College Main Syracuse,25.4%,NY
Staten Island,11793,CUNY College of Staten Island,26.7%,NY
Auburn,1693,Cayuga County Community College,25.8%,NY
Randolph,6219,County College of Morris,27%,NJ
Scottsbluff,1306,Western Nebraska Community College,26.1%,NE
Rochester,333,Bryant and Stratton College Greece,26.8%,NY
Santa Fe,803,Institute of American Indian and Alaska Native Culture,26.1%,NM
Lincoln,9416,Southeast Community College Area,26.3%,NE
Corning,3954,Corning Community College,26.4%,NY
Papillion,134,Nebraska Christian College,26.3%,NE
Havre,1050,Montana State University Northern,26.2%,MT
Holly Springs,768,Rust College,26.5%,MS
Bellevue,11902,Bellevue University,26.7%,NE
Itta Bena,2064,Mississippi Valley State University,26.2%,MS
Duluth,4373,Lake Superior College,26.6%,MN
Lansing,165,Great Lakes Christian College,26.8%,MI
Greenfield,1433,Greenfield Community College,26%,MA
Elizabethtown,5657,Elizabethtown Community and Technical College,26.8%,KY
Bowling Green,4368,Southcentral Kentucky Community and Technical College,26.7%,KY
Danville,2330,Danville Community College,26.6%,VA
Vernon,2358,Vernon College,26.2%,TX
Clarendon,1372,Clarendon College,26.1%,TX
Jenkintown,660,Manor College,26.9%,PA
Alva,1791,Northwestern Oklahoma State University,26.6%,OK
Cincinnati,776,Union Institute & University,26.7%,OH
Hamilton,2289,Miami University Hamilton,26.7%,OH
Dobson,2849,Surry Community College,26.2%,NC
Thomasville,3636,Davidson County Community College,26.4%,NC
Buffalo,1101,Trocaire College,26.7%,NY
Watertown,2362,Jefferson Community College,26.9%,NY
Oakwood,5068,Lanier Technical College,27.2%,GA
Highland,2640,Highland Community College,27.6%,KS
Richmond,3111,Indiana University East,27.7%,IN
Owensboro,841,Brescia University,27.9%,KY
Whiting,638,Calumet College of Saint Joseph,27.8%,IN
Trinity,204,Trinity College of Florida,27.4%,FL
Savannah,3385,Savannah State University,27.4%,GA
Colorado Springs,24016,Colorado Technical University Colorado Springs,27.5%,CO
Riverside,17960,Riverside City College,27.8%,CA
Woodland Hills,15148,Los Angeles Pierce College,27.4%,CA
Gilroy,4538,Gavilan College,27.3%,CA
Santa Maria,9836,Allan Hancock College,27.4%,CA
Rainsville,2489,Northeast Alabama Community College,27.9%,AL
Batesville,1060,University of Arkansas Community College Batesville,27.6%,AR
Akron,410,Herzing University Akron Campus,27.9%,OH
Westminster,2770,Carroll Community College,26.9%,MD
Sioux Falls,28,Colorado Technical University Sioux Falls,26.4%,SD
Columbus,48,Miami Jacobs Career College Columbus,26.7%,OH
Lancaster,2125,Ohio University Lancaster Campus,27.7%,OH
Canton,4653,Kent State University at Stark,27.7%,OH
Cincinnati,38,National College Cincinnati,26.9%,OH
Laurinburg,911,St. Andrews University,27.5%,NC
Albany,476,Mildred Elley School Albany Campus,27.2%,NY
Morrisville,1957,Morrisville State College,27.1%,NY
Henderson,2757,Vance Granville Community College,27.8%,NC
Raleigh,1141,Shaw University,27.7%,NC
Laconia,696,Lakes Region Community College,27.3%,NH
Suffern,5637,Rockland Community College,28%,NY
Jamaica,7027,CUNY York College,27.8%,NY
Roswell,1627,Eastern New Mexico University Roswell Campus,27%,NM
Decatur,2219,East Central Community College,27.4%,MS
Lincoln,288,Purdue Global Lincoln Campus,27.3%,NE
Park Hills,2282,Mineral Area College,27.8%,MO
Perkinston,8208,Mississippi Gulf Coast Community College,27.1%,MS
Centreville,1068,Glen Oaks Community College,27.2%,MI
Louisville,405,Brown Mackie College Louisville,27.6%,KY
Monticello,2678,University of Arkansas at Monticello,28.7%,AR
Miami,184,Brown Mackie College Miami,27.9%,FL
Little Rock,8295,University of Arkansas at Little Rock,28.2%,AR
Montgomery,1846,H Councill Trenholm State Technical College,28%,AL
Monroeville,982,Alabama Southern Community College,28.5%,AL
Fort Wayne,131,Brown Mackie College Fort Wayne,27.9%,IN
Marion,314,Marion Military Institute,28.3%,AL
Bothell,1996,Cascadia Community College,27.6%,WA
Atlanta,220,Brown Mackie College Atlanta,27%,GA
Indianapolis,157,Crossroads Bible College,27.3%,IN
Zarephath,546,Somerset Christian College,27.3%,NJ
Washington,384,Potomac College Washington,27.6%,DC
Urbandale,760,Purdue Global Des Moines Campus,27.6%,IA
Tempe,908,University of Advancing Technology,27.1%,AZ
Bluefield,1358,Bluefield State College,27.9%,WV
Bremerton,4999,Olympic College,27.8%,WA
Jackson,1047,Lane College,27.9%,TN
Seminole,1530,Seminole State College,27.6%,OK
Mobile,674,Virginia College Mobile,25.5%,AL
Daytona Beach,12720,Embry Riddle Aeronautical University Worldwide,25.4%,FL
Hopkinsville,67,Brown Mackie College Hopkinsville,25.6%,KY
Huntsville,491,Virginia College Huntsville,25.4%,AL
Tillamook,484,Tillamook Bay Community College,25.3%,OR
Sandersville,1705,Oconee Fall Line Technical College,25.1%,GA
Normal,4697,Heartland Community College,25.6%,IL
Florence,753,Beckfield College Florence,25.1%,KY
Putney,619,Landmark College,25.4%,VT
Seattle,4887,Seattle Community College North Campus,25%,WA
Riverton,1770,Central Wyoming College,25.4%,WY
Tacoma,5359,Tacoma Community College,25.2%,WA
Newton,2162,Sussex County Community College,25.7%,NJ
Longview,2164,Lower Columbia College,25.7%,WA
Lakewood,7363,Pierce College at Fort Steilacoom,25.1%,WA
Orem,125,Stevens Henager College of Business Provo,25.4%,UT
Independence,901,Independence Community College,26.1%,KS
Waterloo,5085,Hawkeye Community College,26.1%,IA
Belleville,7213,Southwestern Illinois College,26.4%,IL
Clifton Forge,1069,Dabney S Lancaster Community College,25.2%,VA
Plainfield,369,Goddard College,25%,VT
Cleveland,2710,Truett McConnell College,26.6%,GA
Clarkesville,2660,North Georgia Technical College,26.5%,GA
Salinas,9808,Hartnell College,26.2%,CA
Taft,3943,Taft College,26.6%,CA
Aptos,9075,Cabrillo College,26.4%,CA
Sacramento,25849,American River College,26.1%,CA
Lancaster,11105,Antelope Valley College,26.2%,CA
Mena,718,Rich Mountain Community College,26.8%,AR
Morrilton,1953,University of Arkansas Community College Morrilton,26.2%,AR
Montgomery,3964,Alabama State University,26.6%,AL
Phoenix,242,Brown Mackie College Phoenix,25%,AZ
Pine Bluff,2670,University of Arkansas at Pine Bluff,26.9%,AR
Tulsa,250,Brown Mackie College Tulsa,25.5%,OK
Lemoore,3484,West Hills College Lemoore,25.8%,CA
Logan,61,Stevens Henager College Logan,25.6%,UT
Crystal Lake,8765,McHenry County College,28.6%,IL
Malta,2442,Kishwaukee College,28.1%,IL
Davenport,7460,Eastern Iowa Community College District,28.5%,IA
Kankakee,2231,Kankakee Community College,28.6%,IL
Lincoln,888,Lincoln College,28.9%,IL
Lewiston,3710,Lewis Clark State College,28.5%,ID
Winter Haven,9044,Polk State College,28.1%,FL
Fairfield,8105,Solano Community College,28.7%,CA
Coalinga,3801,West Hills College Coalinga,28.2%,CA
Rangely,1150,Colorado Northwestern Community College,28.2%,CO
Panama City,4377,Gulf Coast State College,28.7%,FL
Waterbury,14055,Post University,28.1%,CT
Ventura,10741,Ventura College,29%,CA
Stockton,16640,San Joaquin Delta College,28.9%,CA
Hope,1191,University of Arkansas Community College Hope,28.8%,AR
Yucaipa,5260,Crafton Hills College,28.2%,CA
Centerville,491,Fortis College Centeville,28.5%,OH
Tahlequah,7025,Northeastern State University,28.2%,OK
Wilberforce,557,Wilberforce University,28.6%,OH
Hayward,11071,Chabot College,28.4%,CA
Zanesville,2184,Ohio University Zanesville Campus,28.8%,OH
New York,1981,Berkeley College New York,28.9%,NY
New York,812,Professional Business College,28.4%,NY
Binghamton,4755,Broome Community College,28.1%,NY
Sylvania,1112,Lourdes University,28.4%,OH
Stone Ridge,2907,Ulster County Community College,28.6%,NY
New York,412,American Academy McAllister Institute of Funeral Service,28.6%,NY
Topeka,34,Bryan University Topeka,28.3%,KS
Marshall,1776,Missouri Valley College,28.7%,MO
Booneville,3284,Northeast Mississippi Community College,28.8%,MS
Winona,1838,Minnesota State College Southeast Technical,28.1%,MN
Woodland Park,2227,Berkeley College Woodland Park,28.7%,NJ
Ely,575,Vermilion Community College,28.6%,MN
Lexington,242,National College Lexington,28.2%,KY
Poteau,1781,Carl Albert State College,29.6%,OK
Durant,5420,Southeastern Oklahoma State University,29%,OK
Maumee,482,Stautzenberger College Maumee,29.8%,OH
Worcester,1675,Becker College,29.9%,MA
Great Bend,3748,Barton County Community College,28.7%,KS
Wooster,490,Ohio State University Agricultural Technical Institute,29.4%,OH
Florence,4089,Gateway Community and Technical College,30%,KY
Cumberland,2492,Southeast Kentucky Community and Technical College,29.3%,KY
Hutchinson,5114,Hutchinson Community College,29.8%,KS
Lenexa,171,Brown Mackie College Kansas City,29.7%,KS
Ottumwa,3385,Indian Hills Community College,29.7%,IA
Kokomo,2995,Indiana University Kokomo,29%,IN
Mason City,142,Purdue Global Mason City Campus,29.8%,IA
Michigan City,38,Brown Mackie College Michigan City,29.8%,IN
New Albany,4051,Indiana University Southeast,29.7%,IN
Nashville,193,Watkins College of Art Design & Film,28.3%,TN
South Holland,3691,South Suburban College,29.9%,IL
Findlay,214,Brown Mackie College Findlay,28.8%,OH
Wenatchee,2661,Wenatchee Valley College,28.9%,WA
Columbia,1908,Benedict College,28.9%,SC
Athens,3943,Athens Technical College,28.7%,GA
Glenns,2588,Rappahannock Community College,28.5%,VA
Ferrum,869,Ferrum College,28.1%,VA
Lynchburg,3464,Central Virginia Community College,28.1%,VA
Cincinnati,56,Antonelli College Cincinnati,29.6%,OH
Portland,481,Pacific Northwest College of Art,28.4%,OR
Salem,77,Allegheny Wesleyan College,29.4%,OH
Sylva,2504,Southwestern Community College,29.6%,NC
Rocky Mount,1531,North Carolina Wesleyan College,29.2%,NC
Wayne,78,Valley Forge Military College,28.1%,PA
Shawnee,702,Saint Gregorys University,29%,OK
Wilmington,1860,Miller Motte College Wilmington,29.9%,NC
Canton,2863,SUNY College of Technology at Canton,29.6%,NY
New Rochelle,2853,The College of New Rochelle,29.2%,NY
Flushing,980,Long Island Business Institute,29.3%,NY
Johnstown,1738,Fulton Montgomery Community College,29.2%,NY
Plattsburgh,1010,Clinton Community College,29.4%,NY
Reno,9431,Truckee Meadows Community College,29.2%,NV
Summit,1673,Southwest Mississippi Community College,29.3%,MS
Wesson,2837,Copiah Lincoln Community College,29%,MS
Brooklyn Park,4083,Hennepin Technical College,29.2%,MN
Decatur,2252,Richland Community College,29.4%,IL
Atlanta,3383,Atlanta Technical College,29.8%,GA
Tampa,19198,Hillsborough Community College,29.6%,FL
New Castle,13129,Wilmington University,29.1%,DE
San Marcos,17566,Palomar College,29.1%,CA
Santa Monica,23408,Santa Monica College,29.3%,CA
Atlanta,1187,American InterContinental University Atlanta,29.9%,GA
Rochester,222,Bryant and Stratton College Henrietta,29.8%,NY
Quincy,1354,Feather River Community College District,29.2%,CA
Jacksonville,9540,Jacksonville State University,30.6%,AL
Folsom,8926,Folsom Lake College,29.9%,CA
Brooklyn Center,80,Minnesota School of Business Brooklyn Center,29.3%,MN
Montgomery,429,Virginia College Montgomery,29.2%,AL
Naples,551,Hodges University,29.6%,FL
Olympia,4215,South Puget Sound Community College,29.4%,WA
Sheridan,3921,Sheridan College,29.5%,WY
La Crosse,3963,Western Technical College,29.2%,WI
Janesville,2424,Blackhawk Technical College,29.2%,WI
Brooklyn,2745,ASA Institute of Business and Computer Technology,29.1%,NY
Des Moines,4951,Highline Community College,29.6%,WA
Brownsville,7527,The University of Texas at Brownsville,29.1%,TX
Concordia,1531,Cloud County Community College,30.9%,KS
Scranton,1916,Lackawanna College,29%,PA
Richmond,1730,Virginia Union University,29.8%,VA
La Grande,2825,Eastern Oregon University,29.5%,OR
West Burlington,2321,Southeastern Community College,30.1%,IA
Everett,6682,Everett Community College,29.3%,WA
Notre Dame,468,Holy Cross College,30.3%,IN
Ullin,1054,Shawnee Community College,30.9%,IL
Springfield,4840,Lincoln Land Community College,30.3%,IL
Freeport,1203,Highland Community College,30.7%,IL
Fort Valley,2923,Fort Valley State University,30.3%,GA
Savannah,7041,Armstrong State University,30.8%,GA
Babson Park,812,Webber International University,30.9%,FL
Bradenton,8424,State College of Florida Manatee Sarasota,30%,FL
Sterling,1392,Northeastern Junior College,30.4%,CO
Saratoga,6717,West Valley College,30.1%,CA
Torrance,19675,El Camino Community College District,30.8%,CA
San Luis Obispo,9661,Cuesta College,30.3%,CA
De Queen,1360,Cossatot Community College of the University of Arkansas,31%,AR
Key West,865,Florida Keys Community College,30.9%,FL
Ellisville,4345,Jones County Junior College,30.9%,MS
Livingston,5594,University of West Alabama,31%,AL
Richfield,581,Minnesota School of Business Richfield,30.9%,MN
Rosemount,2451,Dakota County Technical College,30.9%,MN
Boston,346,Bay State College,30.9%,MA
Fairbanks,6826,University of Alaska Fairbanks,30.1%,AK
Boston,1237,New England College of Business,30%,MA
Machias,762,University of Maine at Machias,30.1%,ME
Maysville,3532,Maysville Community and Technical College,31%,KY
Hazard,2887,Hazard Community and Technical College,30%,KY
Fort Scott,1646,Fort Scott Community College,30.5%,KS
Colby,1317,Colby Community College,30.9%,KS
Sunnyvale,434,Cogswell College,31.4%,CA
Oroville,9470,Butte College,31.1%,CA
Fayetteville,235,Grace College of Divinity,30.4%,NC
Brecksville,257,Stautzenberger College Brecksville,30.8%,OH
Moorefield,361,Eastern West Virginia Community and Technical College,30.2%,WV
Nashville,217,National College of Business and Technology Nashville,30.4%,TN
Owensboro,4111,Owensboro Community and Technical College,30.9%,KY
Torrington,1367,Eastern Wyoming College,30.2%,WY
Casper,3405,Casper College,30.2%,WY
Phoenix,103072,Grand Canyon University,31.2%,AZ
Port Angeles,1702,Peninsula College,30.6%,WA
Wisconsin Rapids,3006,Mid State Technical College,30.3%,WI
Wausau,6116,Northcentral Technical College,30.4%,WI
Kirkland,3240,Lake Washington Institute of Technology,30.8%,WA
Bellevue,1996,City University of Seattle,30%,WA
Buena Vista,1170,Southern Virginia University,30.8%,VA
Bogalusa,4612,Northshore Technical Community College,31.1%,LA
West Haven,127,Stevens Henager College Ogden,30%,UT
Petersburg,2670,Richard Bland College of the College of William and Mary,30.5%,VA
Baton Rouge,1315,Our Lady of the Lake College,31.9%,LA
Columbia,2618,Lindsey Wilson College,31.3%,KY
New Orleans,1236,Our Lady of Holy Cross College,31.8%,LA
Hammond,9194,Purdue University Calumet Campus,31.5%,IN
Fort Wayne,2450,Indiana Institute of Technology,31.1%,IN
Harrisburg,1239,Southeastern Illinois College,31.7%,IL
Jacksonville,548,MacMurray College,31.2%,IL
Savannah,3582,Savannah Technical College,31.4%,GA
Arkansas City,2407,Cowley County Community College,30.8%,KS
Pittsburgh,2439,Chatham University,56%,PA
Columbus,7898,Columbus State University,31.1%,GA
Elgin,8050,Elgin Community College,31.2%,IL
Bridgeport,3563,University of Bridgeport,31.7%,CT
Rocklin,15773,Sierra College,31%,CA
Walnut,25540,Mt. San Antonio College,31.4%,CA
Oceanside,11125,MiraCosta College,31.6%,CA
Chicago,1027,Kendall College,32.8%,IL
Pocatello,12135,Idaho State University,32.6%,ID
Monterey Park,29506,East Los Angeles College,31.5%,CA
Pittsburg,7859,Los Medanos College,31.3%,CA
Morrow,6817,Clayton State University,32.4%,GA
Largo,24543,St Petersburg College,32.1%,FL
Americus,3157,Georgia Southwestern State University,32.7%,GA
Fort Myers,14756,Florida SouthWestern State College,32.7%,FL
Pensacola,8604,Pensacola State College,32.4%,FL
Pueblo,6110,Colorado State University Pueblo,32.6%,CO
Prescott,1047,Prescott College,32.9%,AZ
Napa,4481,Napa Valley College,32.5%,CA
Magnolia,4434,Southern Arkansas University Main Campus,32.4%,AR
Fort Morgan,1365,Morgan Community College,32.8%,CO
Boise,125,Brown Mackie College Boise,31.9%,ID
Bellingham,3850,Whatcom Community College,31.8%,WA
Honolulu,135,New Hope Christian College,31.3%,HI
Rhinelander,1224,Nicolet Area Technical College,31.1%,WI
Glenville,1557,Glenville State College,31.2%,WV
Boaz,2245,Snead State Community College,33%,AL
Kenosha,4132,University of Wisconsin Parkside,31.8%,WI
Shoreline,4843,Shoreline Community College,31.2%,WA
Salem,997,National College Salem,31.9%,VA
Weyers Cave,3386,Blue Ridge Community College,31.5%,VA
San Antonio,34734,The University of Texas at San Antonio,31.3%,TX
Weatherford,4648,Southwestern Oklahoma State University,31.2%,OK
Marylhurst,743,Marylhurst University,31.1%,OR
Youngstown,11298,Youngstown State University,31.5%,OH
Zanesville,1731,Zane State College,31.6%,OH
Mayville,1172,Mayville State University,31.4%,ND
Spruce Pine,863,Mayland Community College,31%,NC
Roswell,476,New Mexico Military Institute,31.6%,NM
Bloomfield,1300,Bloomfield College,31.5%,NJ
Saint Cloud,3638,St Cloud Technical and Community College,31.9%,MN
International Falls,179,Rainy River Community College,31.9%,MN
Saint Paul,6914,Metropolitan State University,31.9%,MN
Baltimore,8469,Morgan State University,31.2%,MD
Fairfield,2108,Kennebec Valley Community College,31.1%,ME
Pottsville,220,McCann School of Business and Technology,33%,PA
Berkeley,545,Vatterott College Berkeley,32.5%,MO
Fairmont,3562,Fairmont State University,32.2%,WV
Powell,1427,Northwest College,33%,WY
Norfolk,5458,Norfolk State University,32.9%,VA
Orem,41262,Utah Valley University,32.1%,UT
Wytheville,2089,Wytheville Community College,32.9%,VA
Plainview,3508,Wayland Baptist University,32.4%,TX
Beaumont,16320,Lamar University,32.5%,TX
Dallas,317,Dallas Christian College,32.4%,TX
McKenzie,4011,Bethel University,32.6%,TN
Fayetteville,6748,Fayetteville State University,33%,NC
Moore,301,Hillsdale Free Will Baptist College,32.7%,OK
Circleville,1900,Ohio Christian University,32.6%,OH
Dickinson,1415,Dickinson State University,32.9%,ND
Sumter,410,Morris College,32.3%,SC
Johnson City,147,Davis College,32.9%,NY
Jamestown,3798,Jamestown Community College,32.6%,NY
Dix Hills,552,Five Towns College,32.2%,NY
Herkimer,2024,Herkimer County Community College,32.3%,NY
Omaha,332,Purdue Global Omaha Campus,32.2%,NE
Toms River,7321,Ocean County College,32%,NJ
Saint Joseph,4395,Missouri Western State University,32.8%,MO
Grand Island,6309,Central Community College,32.3%,NE
Hibbing,859,Hibbing Community College A Technical and Community College,32.6%,MN
Bemidji,94,Oak Hills Christian College,32.7%,MN
Bemidji,794,Northwest Technical College,33%,MN
Chestnut Hill,93,Pine Manor College,32.4%,MA
Baton Rouge,7400,Southern University and A & M College,32.9%,LA
Grambling,5270,Grambling State University,32.3%,LA
Portland,7996,University of Southern Maine,32.8%,ME
Saint Catharine,649,Saint Catharine College,32.3%,KY
Barbourville,1024,Union College,32%,KY
Fort Mitchell,87,Brown Mackie College Northern Kentucky,32.3%,KY
Cedar Rapids,411,Purdue Global Cedar Rapids Campus,32.7%,IA
Lake Worth,24151,Palm Beach State College,34.5%,FL
Miami,934,AI Miami International University of Art and Design,34.2%,FL
Miami,7337,Barry University,34.7%,FL
Albany,6297,Albany State University,34.9%,GA
Peoria,226,Midstate College,32.5%,IL
Miami,44002,Miami Dade College,34.2%,FL
Daytona Beach,11613,Daytona State College,34%,FL
Santa Rosa,14967,Santa Rosa Junior College,34.1%,CA
Cypress,13406,Cypress College,34.1%,CA
Santa Clarita,15443,College of the Canyons,34.8%,CA
Eau Claire,106,Globe University Eau Claire,33.3%,WI
Houston,195,American InterContinental University Houston,33.3%,TX
San Antonio,156,Baptist University of the Americas,33.3%,TX
Newport,1829,Arkansas State University Newport,33.8%,AR
Bowling Green,17,Daymar College Bowling Green,33.1%,KY
Eau Claire,6998,Chippewa Valley Technical College,33.8%,WI
Seattle,4893,Seattle Community College South Campus,33.2%,WA
Miami,838,Carlos Albizu University Miami,33.9%,FL
Fort Lauderdale,30947,Broward College,33.2%,FL
Grand Junction,8907,Colorado Mesa University,34%,CO
Sacramento,132,Epic Bible College,33.3%,CA
Pasadena,21192,Pasadena City College,33.9%,CA
South Lake Tahoe,2024,Lake Tahoe Community College,33.1%,CA
Carson,17837,California State University Dominguez Hills,33.6%,CA
Thatcher,4583,Eastern Arizona College,33.5%,AZ
Tucson,171,Brown Mackie College Tucson,33.9%,AZ
San Diego,13101,San Diego Miramar College,33.2%,CA
Santa Barbara,12746,Santa Barbara City College,33.8%,CA
Normal,5969,Alabama A & M University,33%,AL
Columbus,335,Miller Motte Technical College Columbus,32.2%,GA
Sioux Falls,125,Globe University Sioux Falls,32.2%,SD
Fayetteville,259,Miller Motte College Fayetteville,32.5%,NC
Youngstown,34,National College Youngstown,32.4%,OH
Troy,14901,Troy University,33.8%,AL
Cobleskill,1820,SUNY College of Agriculture and Technology at Cobleskill,35.8%,NY
Biloxi,313,Virginia College Biloxi,32%,MS
Brooklyn,172,Machzikei Hadath Rabbinical College,35.7%,NY
Oakdale,2256,Dowling College,35.5%,NY
Liverpool,484,Bryant and Stratton College Syracuse North,35.1%,NY
Henniker,3806,New England College,35.1%,NH
Dultuh,47,Duluth Business University,36%,MN
Flint,6418,University of Michigan Flint,36%,MI
Jacksonville,20717,Florida State College at Jacksonville,35.6%,FL
San Francisco,70,San Francisco Art Institute,35.4%,CA
Colorado Springs,196,National American University Colorado Springs,35.4%,CO
Baton Rouge,1202,Capital Area Technical College Baton Rouge Campus,35.4%,LA
Augusta,3705,Augusta Technical College,35.3%,GA
Quincy,1728,John Wood Community College,35.2%,IL
Albany,2370,Albany Technical College,35.1%,GA
Joplin,4352,Missouri Southern State University,33.8%,MO
Cleveland,2727,Delta State University,33%,MS
Fulton,4348,Itawamba Community College,33.9%,MS
Huntington Beach,10189,Golden West College,35.5%,CA
Glendora,9982,Citrus College,35.2%,CA
San Diego,378,Newschool of Architecture and Design,35.7%,CA
Mission Viejo,17392,Saddleback College,35.1%,CA
Pratt,1125,Pratt Community College,33.8%,KS
Fergus Falls,5360,Minnesota State Community and Technical College,33.5%,MN
Shreveport,8881,Louisiana State University Shreveport,33.4%,LA
Fullerton,17813,Fullerton College,31.3%,CA
Alpena,1487,Alpena Community College,33.7%,MI
Wichita,4834,Wichita Area Technical College,33.9%,KS
Garden City,1962,Garden City Community College,34%,KS
Salina,149,Brown Mackie College Salina,33.9%,KS
Oskaloosa,1372,William Penn University,33.5%,IA
Pearl City,3008,University of Hawaii West Oahu,33.3%,HI
Chicago,4127,Roosevelt University,33.9%,IL
Godfrey,4125,Lewis and Clark Community College,33.2%,IL
South Bend,131,Brown Mackie College South Bend,33%,IN
Tallahassee,11935,Tallahassee Community College,33.4%,FL
New Port Richey,9257,Pasco Hernando Community College,33.5%,FL
San Angelo,10826,Angelo State University,33.2%,TX
Lakewood,2846,Clover Park Technical College,33.1%,WA
Auburn,6559,Green River Community College,33.1%,WA
Danville,1336,Averett University,33.6%,VA
Bennington,351,Southern Vermont College,33.1%,VT
Kingsville,6405,Texas A & M University Kingsville,33.9%,TX
Denmark,402,Voorhees College,33.4%,SC
Sharon,419,Penn State Shenango,34%,PA
Portsmouth,3216,Shawnee State University,33.4%,OH
